1	54	5560	5259	15458	2019-08-15	8141	206
2	35	3134	3294	13139	2019-08-15	16993	330
3	29	2981	3151	6116	2019-08-15	14587	206
4	34	4964	3493	8755	2019-08-15	18211	141
5	26	3134	3214	6907	2019-08-15	22736	188
6	63	4011	4657	5629	2019-08-15	33085	366
7	100	5575	3214	12391	2019-08-15	16996	366
8	95	3061	3657	8364	2019-08-15	48150	141
9	25	5259	2852	15008	2019-08-15	10880	400
10	58	5411	3294	4672	2019-08-15	11369	141
11	24	4020	4648	7698	2019-08-15	12085	400
12	100	4872	3189	14220	2019-08-15	21305	366
13	69	3057	3092	10093	2019-08-15	18023	188
14	64	2982	5259	16979	2019-08-15	44687	366
15	87	3494	2925	12167	2019-08-15	21850	400
16	52	3107	4916	17164	2019-08-15	35965	400
17	77	3092	4977	11408	2019-08-15	36678	544
18	35	3522	3234	15471	2019-08-15	9205	330
19	77	3312	5290	14879	2019-08-15	39786	544
20	51	3522	4961	10260	2019-08-15	8085	544
21	43	2855	4020	14236	2019-08-15	33544	366
22	30	3218	4011	16139	2019-08-15	28580	330
23	88	5290	5569	16517	2019-08-15	49114	330
24	29	3057	5560	6566	2019-08-15	10942	206
25	98	3063	3294	15703	2019-08-15	46884	206
26	92	5290	6353	5273	2019-08-15	41319	544
27	72	3061	4964	12846	2019-08-15	42097	188
28	26	6353	2982	5828	2019-08-15	20972	188
29	1	6353	2982	5912	2019-08-15	42605	188
30	2	6353	2982	13081	2019-08-15	41736	188
31	21	4986	4659	4521	2019-08-15	45539	544
32	85	3462	3424	7768	2019-08-15	39614	544
33	84	5501	3705	16906	2019-08-15	21823	330
34	6	5295	3433	17302	2019-08-15	38103	410
35	13	3652	4323	14575	2019-08-15	34560	400
36	89	3061	2982	16820	2019-08-15	35704	410
37	10	4977	3189	12002	2019-08-15	46330	141
38	38	4024	5501	15450	2019-08-15	22938	287
39	69	4057	3652	9136	2019-08-15	41845	188
40	15	4916	4657	16537	2019-08-15	9616	287
41	25	3214	2856	12371	2019-08-15	44104	400
42	85	2855	3521	10615	2019-08-15	43421	544
43	69	3003	3652	14740	2019-08-15	21064	188
44	35	3657	5401	8129	2019-08-15	32427	330
45	13	4883	2906	3789	2019-08-15	19535	400
46	72	4054	3035	9623	2019-08-15	16318	188
47	25	2900	2902	15533	2019-08-15	28221	400
48	76	5206	4835	17732	2019-08-15	25332	544
49	93	3652	3057	6301	2019-08-15	35330	188
50	24	5568	3019	14134	2019-08-15	36283	400
51	33	3003	2981	6632	2019-08-15	7413	330
52	81	3143	3652	9596	2019-08-15	9287	188
53	54	5560	5259	3841	2019-08-10	46741	206
54	35	3134	3294	11820	2019-08-10	10500	330
55	29	2981	3151	13601	2019-08-10	16827	206
56	34	4964	3493	4450	2019-08-10	33210	141
57	26	3134	3214	16137	2019-08-10	29549	188
58	63	4011	4657	3746	2019-08-10	27536	366
59	10	5575	3214	8748	2019-08-10	22249	141
60	95	3061	3657	13691	2019-08-10	25909	141
61	11	5259	2852	4990	2019-08-10	14032	330
62	58	5411	3294	11204	2019-08-10	13428	141
63	24	4020	4648	5953	2019-08-10	22850	400
64	16	4872	3189	8680	2019-08-10	35297	330
65	69	3057	3092	6942	2019-08-10	14999	188
66	64	2982	5259	6969	2019-08-10	33302	366
67	87	3494	2925	8734	2019-08-10	47747	400
68	52	3107	4916	13226	2019-08-10	28480	400
69	43	3092	4977	10689	2019-08-10	48398	366
70	35	3522	3234	8452	2019-08-10	41248	330
71	77	3312	5290	17589	2019-08-10	27123	544
72	51	3522	4961	9726	2019-08-10	38100	544
73	43	2855	4020	8496	2019-08-10	29802	366
74	30	3218	4011	12691	2019-08-10	31332	330
75	88	5290	5569	17068	2019-08-10	49084	330
76	29	3057	5560	4864	2019-08-10	28620	206
77	98	3063	3294	7209	2019-08-10	39029	206
78	92	5290	6353	17602	2019-08-10	33968	544
79	72	3061	4964	6751	2019-08-10	16139	188
80	26	6353	2982	9450	2019-08-10	23923	188
81	21	4986	4659	14387	2019-08-10	31283	544
82	85	3462	3424	11899	2019-08-10	15064	544
83	84	5501	3705	6605	2019-08-10	27680	330
84	6	5295	3433	14810	2019-08-10	26337	410
85	13	3652	4323	16747	2019-08-10	16282	400
86	42	3061	2982	8501	2019-08-10	9324	188
87	10	4977	3189	7189	2019-08-10	10615	141
88	38	4024	5501	13286	2019-08-10	11773	287
89	69	4057	3652	11334	2019-08-10	22151	188
90	15	4916	4657	5768	2019-08-10	36917	287
91	25	3214	2856	3990	2019-08-10	9069	400
92	85	2855	3521	5895	2019-08-10	35057	544
93	47	3003	3652	14894	2019-08-10	48458	188
94	35	3657	5401	10335	2019-08-10	26189	330
95	13	4883	2906	15524	2019-08-10	41468	400
96	72	4054	3035	11141	2019-08-10	16186	188
97	25	2900	2902	10758	2019-08-10	43320	400
98	76	5206	4835	14141	2019-08-10	12417	544
99	93	3652	3057	9848	2019-08-10	41034	188
100	24	5568	3019	13044	2019-08-10	45901	400
101	33	3003	2981	11605	2019-08-10	9810	330
102	81	3143	3652	13092	2019-08-10	11288	188
