1	11	7
2	11	6
3	4	3
4	6	2
5	9	8
6	1	8
7	6	8
8	2	7
9	9	10
10	5	1
11	7	10
12	4	3
13	6	9
14	1	8
15	10	3
16	6	10
17	4	4
18	6	10
19	5	4
20	2	9
21	2	5
22	5	9
23	6	2
24	9	9
25	11	9
26	1	7
27	10	9
28	11	3
29	3	2
30	9	10
31	11	2
32	7	4
33	2	10
34	1	1
35	8	10
36	4	5
37	7	10
38	7	3
39	10	8
40	1	1
41	4	9
42	11	7
43	11	4
44	5	2
45	10	5
46	10	7
47	4	7
48	2	3
49	10	7
50	10	2
51	6	5
52	11	9
53	8	6
54	9	2
55	7	9
56	10	7
57	6	2
58	10	1
59	10	4
60	7	5
61	7	5
62	3	2
63	8	4
64	11	4
65	1	6
66	5	5
67	1	9
68	2	6
69	2	7
70	9	1
71	3	3
72	11	7
73	5	2
74	4	10
75	3	3
76	9	5
77	3	5
78	8	10
79	8	10
80	9	1
81	9	7
82	10	1
83	5	4
84	1	10
85	1	5
86	7	6
87	9	9
88	5	10
89	1	8
90	7	4
91	1	5
92	2	5
93	5	7
94	5	1
95	7	1
96	5	7
97	6	8
98	11	2
99	7	1
100	4	4
